entityId,TTrvD,TTrvAS,x_center,y_center,radius,numStayPointsVisits,avgTimeVisit,num_travels,avg_travel_time,avg_travel_distance,avg_travel_avg_speed
64,30658.54159,3.93058,437031.0379,6458286.39672,8635.91315,15,244.33333333333334,22,39.13636363636363,217.29990260389178,6.315821203246721
65,30200.04117,3.8718,437081.66326,6458062.70749,8334.05059,23,171.2608695652174,23,37.65217391304348,205.4169393846699,6.206278828857657
66,30447.31988,3.9035,436957.71022,6458392.23929,8567.40115,15,243.86666666666667,23,37.65217391304348,196.5444587772001,5.79324292773115
67,31610.86739,4.05268,436880.97481,6458795.45371,9046.98989,11,302.09090909090907,24,34.833333333333336,184.83490470200897,5.212613068382079
68,31628.33655,4.05491,437309.35869,6458013.88757,8561.90696,30,122.03333333333333,23,36.0,201.32640959196556,6.05531892909717
69,31798.87418,4.07678,437005.08311,6458397.83354,8809.58828,13,259.38461538461536,21,39.333333333333336,222.861106934295,6.366238591386812
70,30853.68967,3.9556,437042.07404,6458668.20495,8273.99588,9,362.55555555555554,21,40.38095238095238,212.65682053546135,5.955671423902489
71,31302.19469,4.0131,436943.48756,6458872.57114,8504.41633,5,654.0,21,40.38095238095238,211.07474613600763,5.291168298064895
72,32313.29474,4.14273,436958.61239,6458847.36679,8512.99263,5,640.2,20,41.3,211.57774598332358,5.493241396216853
73,36518.04193,4.6818,434531.89962,6464060.77319,10631.72212,6,593.8333333333334,20,41.3,17.780635120532818,2.643116545361832
74,36759.28819,4.71273,434557.47107,6464259.77697,10643.08101,3,1180.3333333333333,20,41.3,17.444919072733803,2.680889371379282
75,34344.25649,4.40311,434072.41607,6464927.81309,10433.31653,5,749.8,20,41.3,17.24489388877874,2.5711649396333356
76,33860.26882,4.34106,434093.96098,6465038.50869,10429.58815,10,388.8,19,43.421052631578945,17.419510759245373,2.473479298783972
77,34455.63947,4.41739,434111.15455,6465079.95179,10554.59273,5,763.4,19,43.421052631578945,17.719640751738115,2.55680144984576
78,34128.10427,4.3754,434106.68388,6465204.67844,10520.27533,6,636.0,19,43.421052631578945,17.967031306675704,2.5415672424392843
79,34645.92708,4.44179,434119.27968,6465219.288,10600.96218,5,762.6,19,43.421052631578945,17.590054866893375,2.401369761728046
80,34362.56649,4.40546,434035.5444,6465436.60314,10537.64826,5,758.6,19,43.421052631578945,17.278177072617147,2.403634870264832
81,34339.07298,4.40245,434098.79404,6465295.54626,10571.69576,6,640.1666666666666,19,43.421052631578945,17.341042139931982,2.403195664655678
82,34790.3733,4.4603,434097.36933,6465352.10955,10587.95327,5,759.4,19,43.421052631578945,18.222428760370132,2.402690071665063
